jahr;ort;rubrik;thema;wert;einheit
2001;Kanton ZH;Holz;Wärme;337276;MWh
2002;Kanton ZH;Holz;Wärme;343196;MWh
2003;Kanton ZH;Holz;Wärme;367762;MWh
2004;Kanton ZH;Holz;Wärme;369850;MWh
2005;Kanton ZH;Holz;Wärme;335336;MWh
2006;Kanton ZH;Holz;Wärme;363470;MWh
2007;Kanton ZH;Holz;Wärme;383662;MWh
2008;Kanton ZH;Holz;Wärme;396176;MWh
2009;Kanton ZH;Holz;Wärme;402032;MWh
2010;Kanton ZH;Holz;Wärme;418322;MWh
2011;Kanton ZH;Holz;Wärme;450832;MWh
2012;Kanton ZH;Holz;Wärme;465896;MWh
2013;Kanton ZH;Holz;Wärme;506270;MWh
2014;Kanton ZH;Holz;Wärme;528808;MWh
2015;Kanton ZH;Holz;Wärme;570566;MWh
2016;Kanton ZH;Holz;Wärme;577492;MWh
2017;Kanton ZH;Holz;Wärme;574210;MWh
2018;Kanton ZH;Holz;Wärme;596644;MWh
2019;Kanton ZH;Holz;Wärme;624036;MWh
2020;Kanton ZH;Holz;Wärme;691020;MWh
2021;Kanton ZH;Holz;Wärme;735600;MWh
2022;Kanton ZH;Holz;Wärme;751118;MWh
2023;Kanton ZH;Holz;Wärme;839702;MWh
2001;Kanton ZH;Holz;Wärme;168638;kW
2002;Kanton ZH;Holz;Wärme;171598;kW
2003;Kanton ZH;Holz;Wärme;183881;kW
2004;Kanton ZH;Holz;Wärme;184925;kW
2005;Kanton ZH;Holz;Wärme;167668;kW
2006;Kanton ZH;Holz;Wärme;181735;kW
2007;Kanton ZH;Holz;Wärme;191831;kW
2008;Kanton ZH;Holz;Wärme;198088;kW
2009;Kanton ZH;Holz;Wärme;201016;kW
2010;Kanton ZH;Holz;Wärme;209161;kW
2011;Kanton ZH;Holz;Wärme;225416;kW
2012;Kanton ZH;Holz;Wärme;232948;kW
2013;Kanton ZH;Holz;Wärme;253135;kW
2014;Kanton ZH;Holz;Wärme;264404;kW
2015;Kanton ZH;Holz;Wärme;285283;kW
2016;Kanton ZH;Holz;Wärme;288746;kW
2017;Kanton ZH;Holz;Wärme;287105;kW
2018;Kanton ZH;Holz;Wärme;298322;kW
2019;Kanton ZH;Holz;Wärme;312018;kW
2020;Kanton ZH;Holz;Wärme;345510;kW
2021;Kanton ZH;Holz;Wärme;367800;kW
2022;Kanton ZH;Holz;Wärme;375559;kW
2023;Kanton ZH;Holz;Wärme;419851;kW
