jahr;rubrik;thema;wert;einheit;ort
2001;Wärme;Holz;337276;MWh;Kanton ZH
2002;Wärme;Holz;343196;MWh;Kanton ZH
2003;Wärme;Holz;367762;MWh;Kanton ZH
2004;Wärme;Holz;369850;MWh;Kanton ZH
2005;Wärme;Holz;335336;MWh;Kanton ZH
2006;Wärme;Holz;363470;MWh;Kanton ZH
2007;Wärme;Holz;383662;MWh;Kanton ZH
2008;Wärme;Holz;396176;MWh;Kanton ZH
2009;Wärme;Holz;402032;MWh;Kanton ZH
2010;Wärme;Holz;418322;MWh;Kanton ZH
2011;Wärme;Holz;450832;MWh;Kanton ZH
2012;Wärme;Holz;465896;MWh;Kanton ZH
2013;Wärme;Holz;506270;MWh;Kanton ZH
2014;Wärme;Holz;528808;MWh;Kanton ZH
2015;Wärme;Holz;570566;MWh;Kanton ZH
2016;Wärme;Holz;577492;MWh;Kanton ZH
2017;Wärme;Holz;574210;MWh;Kanton ZH
2018;Wärme;Holz;596644;MWh;Kanton ZH
2019;Wärme;Holz;624036;MWh;Kanton ZH
2020;Wärme;Holz;691020;MWh;Kanton ZH
2021;Wärme;Holz;735600;MWh;Kanton ZH
2022;Wärme;Holz;751118;MWh;Kanton ZH
2023;Wärme;Holz;839702;MWh;Kanton ZH
2001;Wärme;Holz;168638;kW;Kanton ZH
2002;Wärme;Holz;171598;kW;Kanton ZH
2003;Wärme;Holz;183881;kW;Kanton ZH
2004;Wärme;Holz;184925;kW;Kanton ZH
2005;Wärme;Holz;167668;kW;Kanton ZH
2006;Wärme;Holz;181735;kW;Kanton ZH
2007;Wärme;Holz;191831;kW;Kanton ZH
2008;Wärme;Holz;198088;kW;Kanton ZH
2009;Wärme;Holz;201016;kW;Kanton ZH
2010;Wärme;Holz;209161;kW;Kanton ZH
2011;Wärme;Holz;225416;kW;Kanton ZH
2012;Wärme;Holz;232948;kW;Kanton ZH
2013;Wärme;Holz;253135;kW;Kanton ZH
2014;Wärme;Holz;264404;kW;Kanton ZH
2015;Wärme;Holz;285283;kW;Kanton ZH
2016;Wärme;Holz;288746;kW;Kanton ZH
2017;Wärme;Holz;287105;kW;Kanton ZH
2018;Wärme;Holz;298322;kW;Kanton ZH
2019;Wärme;Holz;312018;kW;Kanton ZH
2020;Wärme;Holz;345510;kW;Kanton ZH
2021;Wärme;Holz;367800;kW;Kanton ZH
2022;Wärme;Holz;375559;kW;Kanton ZH
2023;Wärme;Holz;419851;kW;Kanton ZH
