jahr;strom_bahn_mwh_ch;strom_bahn_mwh_zh
1984;1759477;305330.0475
1985;1785370;309117.2662
1986;1807606;312472.9782
1987;1901278;328141.0375
1988;1992881;343216.4494
1989;2027365;347983.729
1990;2093802;358137.0664
1991;2082732;354907.0696
1992;2025831;339790.2984
1993;1999764;333492.4869
1994;1965078;326743.2369
1995;1923860;319529.4464
1996;1878030;311976.7
1997;1890585;313938.5624
1998;1944908;323262.8625
1999;1992836;332060.0588
2000;2003909;335662.7651
2001;2056886;346733.688
2002;2068711;350143.5866
2003;2082375;352244.2973
2004;2135228;361571.3394
2005;2260370;383077.8064
2006;2325434;394672.9115
2007;2331351;399292.7217
2008;2416790;416332.966
2009;2390747;412961.0158
2010;2428000;423296.0219
2011;2381000;416093.7629
2012;2409000;421349.5044
2013;2442000;426587.8379
2014;2381000;417208.1165
2015;2411000;423723.5811
2016;2458000;432655.3526
2017;2389000;421994.1643
2018;2339000;415212.0442
2019;2313000;412932.0766
2020;2157000;385943.3577
2021;2275000;406730.7337
2022;2312000;413720.5597
2023;2299000;410800.1316
